designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2926883018091049600,2926883018091049600,101.28547003636689,-21.309578826693492,1.3666734901117767,0.036678273,-4.3856761089681475,-1.4714886682404773,1.000938,16.21208,1.4019232,,VARIABLE,0,true,false,false,true,false,true,true,4486.8623,4.5733,0.1054,764.896,0.1759,0.1336,0.0702,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6279382695890388
Gaia DR3 2926972868809934848,2926972868809934848,102.18161189129145,-20.77652636980019,1.4007297235277871,0.035305485,4.5160519972735855,2.24807741221405,0.971139,16.012163,1.3133173,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4648.258,4.6228,-0.2026,674.1741,0.1497,0.1154,0.0609,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6280248340364454
Gaia DR3 2927056362963991296,2927056362963991296,101.93082016460315,-20.22513203122483,1.3844476083174078,0.32812127,-2.5861575952639972,-0.35063582301647567,0.9630916,19.574654,2.4901218,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6299378788257569
Gaia DR3 2926924245478120704,2926924245478120704,101.95960829700847,-21.190767456863874,1.4033509495706276,0.31398824,-5.300097411021023,-2.2094128751585966,0.99818027,19.647429,2.4343796,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6300425812429181
Gaia DR3 2927121234157296128,2927121234157296128,100.84086696587715,-20.67066468043234,1.3625925976231443,0.047229983,2.8691683850612746,2.6087623035858662,1.0064026,16.544722,1.6314135,,VARIABLE,0,true,false,false,true,false,true,true,4440.6216,4.6471,0.4281,672.6399,0.5981,0.4437,0.234,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.63049351215615
Gaia DR3 2926836494999466240,2926836494999466240,101.40921086034948,-21.34277755023186,1.3521637595694944,1.2020789,3.4890540718420224,-1.2580510305225867,1.0012199,20.80216,1.7886848,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6316185840256671
Gaia DR3 2926828313086844288,2926828313086844288,101.8035324787277,-21.289201548084502,1.3874736830778946,0.19690229,-4.681318785999339,-1.2921820335203644,0.9891539,19.068493,2.5580082,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6318093093316379
Gaia DR3 2927039595423132544,2927039595423132544,102.08408949037262,-20.381243746627437,1.3554625219471128,0.023765948,2.329145915376793,-1.3039938985248851,1.0148717,15.160865,1.2126255,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4832.3867,4.3812,-0.466,751.9113,0.2418,0.1907,0.102,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6323607933949825
Gaia DR3 2927222595385838848,2927222595385838848,100.9298526525866,-20.39929048769865,1.4037119283342194,0.31745183,-1.0970614690796312,2.7147498349996275,1.0455601,19.250057,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6324445123505845
Gaia DR3 2926922600508120448,2926922600508120448,101.90513279730158,-21.235226568263084,1.3849480167381687,0.31913483,5.764530451758176,1.42691314415961,1.0209684,19.724419,2.1221771,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6332585437134262
